paper,title,conference,year
https://dblp.org/rec/conf/aaai/SahaJH22,Weakly Supervised Neuro-Symbolic Module Networks for Numerical Reasoning over Text.,AAAI,2022
https://dblp.org/rec/conf/aaai/RajapakshaB22,"LIMREF: Local Interpretable Model Agnostic Rule-Based Explanations for Forecasting, with an Application to Electricity Smart Meter Data.",AAAI,2022
https://dblp.org/rec/conf/aaai/VerreetDMR22,Inference and Learning with Model Uncertainty in Probabilistic Logic Programs.,AAAI,2022
https://dblp.org/rec/conf/aaai/QuanW0YLDLZZLHH22,FORCE: A Framework of Rule-Based Conversational Recommender System.,AAAI,2022
https://dblp.org/rec/conf/acl/YangZEL22,An Interpretable Neuro-Symbolic Reasoning Framework for Task-Oriented Dialogue Generation.,ACL (1),2022
https://dblp.org/rec/conf/cvpr/KulalMA022,Programmatic Concept Learning for Human Motion Description and Synthesis.,CVPR,2022
https://dblp.org/rec/conf/aaai/ChenHS22,Fuzzy Logic Based Logical Query Answering on Knowledge Graphs.,AAAI,2022
https://dblp.org/rec/conf/aaai/CaiDCDL22,Mitigating Reporting Bias in Semi-supervised Temporal Commonsense Inference with Probabilistic Soft Logic.,AAAI,2022
https://dblp.org/rec/conf/iclr/MeiMWGT22,"FALCON: Fast Visual Concept Learning by Integrating Images, Linguistic descriptions, and Conceptual Relations.",ICLR,2022
https://dblp.org/rec/conf/iclr/YangC22,Safe Neurosymbolic Learning with Differentiable Symbolic Execution.,ICLR,2022
https://dblp.org/rec/conf/nips/NyeTTL21,"Improving Coherence and Consistency in Neural Sequence Models with Dual-System, Neuro-Symbolic Reasoning.",NeurIPS,2021
https://dblp.org/rec/conf/nips/SiuPCZLPCA21,Evaluation of Human-AI Teams for Learned and Rule-Based Agents in Hanabi.,NeurIPS,2021
https://dblp.org/rec/conf/aaai/EicholtzMTR21,Heisenbot: A Rule-Based Game Agent for Gin Rummy.,AAAI,2021
https://dblp.org/rec/conf/aaai/FeblowitzH0SSU21,IBM Scenario Planning Advisor: A Neuro-Symbolic ERM Solution.,AAAI,2021
https://dblp.org/rec/conf/nips/WangZLW21,Scalable Rule-Based Representation Learning for Interpretable Classification.,NeurIPS,2021
https://dblp.org/rec/conf/aaai/JiangB0STS21,Temporal-Logic-Based Reward Shaping for Continuing Reinforcement Learning Tasks.,AAAI,2021
https://dblp.org/rec/conf/aaai/LangP21,Self-Supervised Self-Supervision by Combining Deep Learning and Probabilistic Logic.,AAAI,2021
https://dblp.org/rec/conf/ijcai/TarzariolGS21,Lifting Symmetry Breaking Constraints with Inductive Logic Programming.,IJCAI,2021
https://dblp.org/rec/conf/aaai/QuanY0XLDOTDLYJ21,Integrating Pre-trained Model into Rule-based Dialogue Management.,AAAI,2021
https://dblp.org/rec/conf/aaai/BosselutBC21,Dynamic Neuro-Symbolic Knowledge Graph Construction for Zero-shot Commonsense Question Answering.,AAAI,2021
https://dblp.org/rec/conf/ijcai/QiZCCXZZ21,Unsupervised Knowledge Graph Alignment by Probabilistic Reasoning and Semantic Embedding.,IJCAI,2021
https://dblp.org/rec/conf/aaai/ArabshahiLGMAM21,Conversational Neuro-Symbolic Commonsense Reasoning.,AAAI,2021
https://dblp.org/rec/conf/aaai/0002M021,Parameterized Complexity of Logic-Based Argumentation in Schaefer's Framework.,AAAI,2021
https://dblp.org/rec/conf/aaai/ShindoNY21,Differentiable Inductive Logic Programming for Structured Examples.,AAAI,2021
https://dblp.org/rec/conf/aaai/SinghMBM21,Neuro-Symbolic Techniques for Description Logic Reasoning (Student Abstract).,AAAI,2021
https://dblp.org/rec/conf/icml/VedantamSNML21,CURI: A Benchmark for Productive Concept Learning Under Uncertainty.,ICML,2021
https://dblp.org/rec/conf/cvpr/StammerSK21,Right for the Right Concept: Revising Neuro-Symbolic Concepts by Interacting With Their Explanations.,CVPR,2021
https://dblp.org/rec/conf/iclr/FeinmanL21,Learning Task-General Representations with Generative Neuro-Symbolic Modeling.,ICLR,2021
https://dblp.org/rec/conf/aaai/ZhouYHCCSP021,Clinical Temporal Relation Extraction with Probabilistic Soft Logic Regularization and Global Inference.,AAAI,2021
https://dblp.org/rec/conf/iclr/PrabhudesaiLPTH21,Disentangling 3D Prototypical Networks for Few-Shot Concept Learning.,ICLR,2021
https://dblp.org/rec/conf/nips/NieYMPZA20,Bongard-LOGO: A New Benchmark for Human-Level Concept Learning and Reasoning.,NeurIPS,2020
https://dblp.org/rec/conf/nips/JiangA20,Generative Neurosymbolic Machines.,NeurIPS,2020
https://dblp.org/rec/conf/nips/Inala0PPB0RS20,Neurosymbolic Transformers for Multi-Agent Communication.,NeurIPS,2020
https://dblp.org/rec/conf/nips/Dang-Nhu20,PLANS: Neuro-Symbolic Program Learning from Videos.,NeurIPS,2020
https://dblp.org/rec/conf/aaai/IbelingI20,Probabilistic Reasoning Across the Causal Hierarchy.,AAAI,2020
https://dblp.org/rec/conf/nips/AndersonVDC20,Neurosymbolic Reinforcement Learning with Formally Verified Exploration.,NeurIPS,2020
https://dblp.org/rec/conf/aaai/Kopparti20,Abstract Rule Based Pattern Learning with Neural Networks.,AAAI,2020
https://dblp.org/rec/conf/ijcai/CropperDM20,Turning 30: New Ideas in Inductive Logic Programming.,IJCAI,2020
https://dblp.org/rec/conf/aaai/LawRBB020,FastLAS: Scalable Inductive Logic Programming Incorporating Domain-Specific Optimisation Criteria.,AAAI,2020
https://dblp.org/rec/conf/aaai/RostamiKPM20,Generative Continual Concept Learning.,AAAI,2020
https://dblp.org/rec/conf/iclr/ZhangCYRLQS20,Efficient Probabilistic Logic Reasoning with Graph Neural Networks.,ICLR,2020
https://dblp.org/rec/conf/icml/AmizadehPPHK20,"Neuro-Symbolic Visual Reasoning: Disentangling ""Visual"" from ""Reasoning"".",ICML,2020
https://dblp.org/rec/conf/ijcai/RaedtDMM20,From Statistical Relational to Neuro-Symbolic Artificial Intelligence.,IJCAI,2020
